,DEPOT,C001,C002,C003,C004,C005,C006,C007,C008,C009,C010,EVS01816,EVS03706,EVS01192,EVS00826,EVS01689,EVS04365,EVS01245,EVS02923,EVS02443,EVS00810,EVS00552,EVS04298,EVS04889,EVS02893,EVS04734,EVS01509,EVS02225,EVS04773,EVS01283,EVS02094,EVS03684,EVS04400,EVS00534,EVS02556,EVS01342,EVS03542,EVS02273,EVS03776,EVS04293,EVS00405
C010,538.1,1078.6,1061.1,1698.9,1151.9,1014.5,778.2,1345.2,819.6,154.4,0.0,419.7,574.8,655.5,1622.2,615.2,1296.5,722.2,1059.3,1663.0,283.0,260.2,2025.4,977.5,763.2,1656.5,1014.1,1137.6,571.1,1034.1,858.0,650.3,1701.3,290.3,1689.0,587.0,1586.5,1403.7,392.8,1101.6,995.7
EVS01816,653.4,1284.6,1372.9,1814.2,1463.7,1220.5,1090.0,1312.6,934.9,545.4,408.8,0.0,797.4,770.8,1737.5,934.7,1411.8,689.6,1174.6,1778.3,594.8,572.0,2140.7,1175.5,878.5,1623.9,1247.1,1285.3,916.6,1305.0,1068.5,765.6,1816.6,602.1,1804.3,932.5,1701.8,1371.1,704.6,1216.9,1111.0
EVS03706,399.9,613.7,788.0,1609.4,798.3,534.9,728.0,1904.4,484.7,637.1,577.0,796.7,0.0,461.0,1532.7,295.5,1207.0,1281.4,724.4,1573.5,695.2,704.5,1935.9,506.6,579.7,2215.7,578.2,672.7,371.7,636.1,414.9,508.0,1611.8,697.6,1599.5,516.2,1497.0,1962.9,709.8,772.1,660.8
EVS01192,231.4,694.6,866.9,1227.8,877.2,630.5,1026.4,1879.8,315.9,760.6,633.1,749.8,439.1,0.0,1151.1,653.6,825.4,1256.8,549.6,1191.9,837.9,828.0,1554.3,585.5,189.0,2191.1,657.1,695.3,688.3,715.0,478.5,164.7,1230.2,844.8,1217.9,774.6,1115.4,1938.3,860.5,626.9,521.0
EVS00826,1167.5,1604.1,1776.4,284.9,1786.7,1540.0,1951.0,1911.0,1223.4,1694.7,1558.1,1674.8,1404.4,1008.9,0.0,1612.3,1017.8,2157.5,1457.1,857.4,1791.2,1781.3,1150.1,1495.0,1069.8,2222.3,1566.6,1604.8,1653.6,1624.5,1388.0,1011.8,287.3,1790.7,813.7,1739.9,111.9,1969.5,1825.8,1536.4,1430.5
EVS01689,626.0,535.8,716.1,1818.6,726.4,471.7,622.9,1994.3,573.6,727.0,666.9,964.4,313.6,692.5,1741.9,0.0,1416.2,1371.3,786.5,1782.7,722.2,774.0,2145.1,434.7,664.8,2305.6,506.3,594.8,266.6,564.2,315.2,737.6,1821.0,724.6,1808.7,411.1,1706.2,2052.8,736.8,717.4,800.0
EVS04365,846.7,1283.3,1455.6,1271.6,1465.9,1219.2,1630.2,2484.0,902.6,1373.9,1237.3,1354.0,1083.6,688.1,1194.9,1291.5,0.0,1861.0,1136.3,1235.7,1470.4,1460.5,1598.1,1174.2,749.0,2795.3,1245.8,1284.0,1332.8,1303.7,1067.2,691.0,1274.0,1469.9,1261.7,1419.1,1159.2,2542.5,1505.0,1215.6,1109.7
EVS01245,1155.4,1786.6,1590.2,2031.9,1681.0,1722.5,1307.3,1055.6,1436.9,782.0,777.0,795.1,1299.4,1272.8,2014.1,1368.0,1913.8,0.0,1676.6,2280.3,808.8,789.3,2642.7,1574.8,1380.5,1366.9,1569.6,1787.3,1241.8,1577.8,1551.7,1267.6,2029.5,819.4,2306.3,1219.3,2085.4,1114.1,907.6,1718.9,1613.0
EVS02923,634.0,751.8,924.1,1611.0,934.4,687.7,1098.7,2299.6,287.1,1180.4,1052.9,1169.6,732.7,536.7,1534.3,760.0,1208.6,1676.6,0.0,1575.1,1257.7,1247.8,1937.5,642.7,457.2,2610.9,714.3,754.5,852.0,772.2,535.7,598.7,1613.4,1257.2,1601.1,996.5,1498.6,2358.1,1292.3,580.8,166.7
EVS02443,1324.8,1761.4,1933.7,1046.1,1944.0,1697.3,2108.3,2672.2,1380.7,1852.0,1715.4,1832.1,1561.7,1166.2,969.4,1769.6,1175.1,2339.1,1614.4,0.0,1948.5,1938.6,1043.7,1652.3,1227.1,2983.5,1723.9,1762.1,1810.9,1781.8,1545.3,1169.1,1048.5,1948.0,573.0,1897.2,933.7,2730.7,1983.1,1693.7,1587.8
EVS00810,747.9,1101.5,895.1,1957.9,985.9,1037.4,612.2,1452.9,1029.4,212.2,283.2,664.0,704.4,865.3,1881.2,730.1,1555.5,829.9,1269.1,1922.0,0.0,82.7,2284.4,879.7,973.0,1764.2,874.5,1160.5,546.7,882.7,856.6,860.1,1960.3,27.7,1948.0,524.2,1845.5,1511.4,182.2,1283.1,1205.5
EVS00552,744.4,1144.3,937.9,1935.9,1028.7,1080.2,655.0,1430.9,1025.9,193.5,261.2,642.0,700.9,861.8,1859.2,741.3,1533.5,807.9,1265.6,1900.0,82.6,0.0,2262.4,922.5,969.5,1742.2,917.3,1203.3,589.5,925.5,899.4,856.6,1938.3,85.9,1926.0,567.0,1823.5,1489.4,225.0,1307.9,1202.0
EVS04298,1702.0,2138.6,2310.9,1361.8,2321.2,2074.5,2485.5,2987.9,1757.9,2229.2,2092.6,2209.3,1938.9,1543.4,1285.1,2146.8,1552.3,2716.3,1991.6,1129.4,2325.7,2315.8,0.0,2029.5,1604.3,3299.2,2101.1,2139.3,2188.1,2159.0,1922.5,1546.3,1364.2,2325.2,956.8,2274.4,1249.4,3046.4,2360.3,2070.9,1965.0
EVS04889,724.7,316.7,344.5,1748.2,402.3,195.6,564.4,2191.4,503.2,958.1,1003.2,1260.3,576.3,627.4,1671.5,529.3,1345.8,1568.4,716.1,1712.3,849.7,901.5,2074.7,0.0,594.4,2502.7,89.5,396.1,517.8,240.1,311.5,689.4,1750.6,852.1,1738.3,558.3,1635.8,2249.9,864.3,647.0,729.6
EVS02893,387.1,697.1,869.4,1194.8,879.7,633.0,1044.0,1987.9,284.0,877.8,741.2,857.9,605.8,228.5,1118.1,705.3,792.4,1364.9,517.7,1158.9,1004.6,983.6,1521.3,588.0,0.0,2299.2,659.6,699.8,797.3,717.5,481.0,231.4,1197.2,1010.3,1184.9,941.3,1082.4,2046.4,1027.2,631.4,531.2
EVS04734,2090.9,2722.1,2525.7,2080.0,2616.5,2658.0,2242.8,448.0,2372.4,1717.5,1712.5,1730.6,2234.9,2208.3,2062.2,2303.5,2849.3,1405.7,2612.1,2879.0,1744.3,1724.8,3171.7,2510.3,2316.0,0.0,2505.1,2722.8,2177.3,2513.3,2487.2,2203.1,2077.6,1754.9,2835.3,2154.8,2133.5,756.3,1843.1,2654.4,2548.5
EVS01509,804.4,398.5,401.8,1827.9,463.1,276.7,599.4,2207.7,582.9,974.4,998.4,1335.3,654.9,707.1,1751.2,593.1,1425.5,1584.7,795.8,1792.0,866.0,917.8,2154.4,82.8,674.1,2519.0,0.0,462.2,479.6,300.9,313.8,769.1,1830.3,868.4,1818.0,574.6,1715.5,2266.2,880.6,726.7,809.3
EVS02225,795.1,172.4,696.3,1818.6,706.6,266.6,922.6,2460.7,573.6,1214.5,1154.4,1330.7,643.6,697.8,1741.9,578.2,1416.2,1837.7,786.5,1782.7,1125.8,1177.6,2145.1,400.1,664.8,2772.0,464.0,0.0,670.2,544.4,333.4,759.8,1821.0,1128.2,1808.7,814.7,1706.2,2519.2,1140.4,522.8,754.1
EVS04773,620.6,554.8,624.7,1835.5,704.9,490.7,453.7,1888.8,592.6,655.5,602.3,928.4,316.9,687.1,1758.8,183.4,1433.1,1265.8,805.5,1799.6,547.1,598.9,2162.0,453.7,683.8,2200.1,489.0,613.8,0.0,542.7,309.9,732.2,1837.9,549.5,1825.6,236.0,1723.1,1947.3,561.7,736.4,804.7
EVS01283,793.0,473.7,272.4,1816.5,282.7,347.2,597.3,2228.4,571.5,995.1,1040.2,1328.6,644.6,695.7,1739.8,597.6,1414.1,1605.4,784.4,1780.6,886.7,938.5,2143.0,248.7,662.7,2539.7,306.0,532.7,554.8,0.0,384.3,757.7,1818.9,889.1,1806.6,595.3,1704.1,2286.9,901.3,715.3,797.9
EVS02094,551.8,286.5,536.3,1575.3,546.6,193.7,608.4,2157.2,330.3,923.9,870.7,1087.4,409.2,454.5,1498.6,299.8,1172.9,1534.2,543.2,1539.4,815.5,867.3,1901.8,254.9,421.5,2468.5,304.0,345.5,359.9,384.4,0.0,516.5,1577.7,817.9,1565.4,504.4,1462.9,2215.7,830.1,474.1,556.7
EVS03684,220.0,686.7,859.0,1265.3,869.3,622.6,1033.6,1880.4,337.0,761.2,633.7,750.4,446.3,116.9,1188.6,661.5,862.9,1257.4,576.7,1229.4,838.5,828.6,1591.8,577.6,264.8,2191.7,649.2,687.4,695.5,707.1,470.6,0.0,1267.7,846.6,1255.4,781.8,1152.9,1938.9,867.7,619.0,513.1
EVS04400,1358.2,1794.8,1967.1,159.9,1977.4,1730.7,2141.7,1845.3,1414.1,1885.4,1748.8,1865.5,1595.1,1199.6,286.6,1803.0,1208.5,2091.8,1647.8,1048.1,1981.9,1972.0,1340.8,1685.7,1260.5,2156.6,1757.3,1795.5,1844.3,1815.2,1578.7,1202.5,0.0,1981.4,1004.4,1930.6,302.6,1903.8,2016.5,1727.1,1621.2
EVS00534,743.4,1138.5,932.1,1959.1,1022.9,1074.4,649.2,1454.1,1024.9,213.4,284.4,665.2,697.8,866.5,1882.4,738.2,1556.7,831.1,1264.6,1923.2,27.7,83.9,2285.6,916.7,968.5,1765.4,911.5,1197.5,583.7,919.7,893.6,861.3,1961.5,0.0,1949.2,561.2,1846.7,1512.6,182.0,1306.9,1201.0
EVS02556,1353.6,1790.2,1962.5,1013.4,1972.8,1726.1,2137.1,2639.5,1409.5,1880.8,1744.2,1860.9,1590.5,1195.0,936.7,1798.4,1203.9,2367.9,1643.2,571.6,1977.3,1967.4,876.2,1681.1,1255.9,2950.8,1752.7,1790.9,1839.7,1810.6,1574.1,1197.9,1015.8,1976.8,0.0,1926.0,901.0,2698.0,2011.9,1722.5,1616.6
EVS01342,766.2,786.7,649.8,1981.1,730.0,675.5,395.6,1872.1,824.9,638.8,624.0,972.3,552.4,832.7,1904.4,418.9,1578.7,1249.1,1037.8,1945.2,530.4,582.2,2307.6,564.8,916.1,2183.4,560.1,845.7,235.5,567.8,536.7,877.8,1983.5,532.8,1971.2,0.0,1868.7,1930.6,545.0,968.7,1040.2
EVS03542,1180.4,1617.0,1789.3,309.7,1799.6,1552.9,1963.9,1935.8,1236.3,1707.6,1571.0,1687.7,1417.3,1021.8,233.0,1625.2,1030.7,2182.3,1470.0,870.3,1804.1,1794.2,1163.0,1507.9,1082.7,2247.1,1579.5,1617.7,1666.5,1637.4,1400.9,1024.7,312.1,1803.6,826.6,1752.8,0.0,1994.3,1838.7,1549.3,1443.4
EVS02273,1841.9,2473.1,2276.7,1831.0,2367.5,2409.0,1993.8,462.9,2123.4,1468.5,1463.5,1481.6,1985.9,1959.3,1813.2,2054.5,2600.3,1156.7,2363.1,2630.0,1495.3,1475.8,2922.7,2261.3,2067.0,774.2,2256.1,2473.8,1928.3,2264.3,2238.2,1954.1,1828.6,1505.9,2586.3,1905.8,1884.5,0.0,1594.1,2405.4,2299.5
EVS03776,862.7,1102.3,895.9,2077.6,986.7,1038.2,613.0,1568.5,1139.5,361.6,432.6,813.4,753.6,929.2,2000.9,730.9,1675.2,945.5,1353.0,2041.7,180.3,232.1,2404.1,880.5,1045.0,1879.8,875.3,1161.3,547.5,883.5,857.4,974.3,2080.0,182.7,2067.7,525.0,1965.2,1627.0,0.0,1283.9,1315.6
EVS04293,715.3,559.7,947.9,1739.0,958.2,633.0,1122.5,2380.9,556.6,1261.7,1134.2,1250.9,828.0,618.0,1662.3,783.0,1336.6,1757.9,577.3,1703.1,1330.6,1329.1,2065.5,666.5,652.2,2692.2,738.1,523.0,875.0,796.0,559.5,680.0,1741.4,1333.0,1729.1,1019.5,1626.6,2439.4,1345.2,0.0,452.1
EVS00405,573.1,712.3,940.3,1596.8,950.6,703.9,1114.9,2238.7,294.5,1119.5,992.0,1108.7,671.8,475.8,1520.1,776.2,1194.4,1615.7,163.1,1560.9,1196.8,1186.9,1923.3,658.9,473.4,2550.0,730.5,754.7,863.9,788.4,551.9,537.8,1599.2,1196.3,1586.9,1008.4,1484.4,2297.2,1231.4,459.1,0.0
