,DEPOT,C001,C002,C003,C004,C005,C006,C007,C008,C009,C010,EVS01816,EVS03706,EVS01192,EVS00826,EVS01689,EVS04365,EVS01245,EVS02923,EVS02443,EVS00810,EVS00552,EVS04298,EVS04889,EVS02893,EVS04734,EVS01509,EVS02225,EVS04773,EVS01283,EVS02094,EVS03684,EVS04400,EVS00534,EVS02556,EVS01342,EVS03542,EVS02273,EVS03776,EVS04293,EVS00405
C010,5.463,10.9982,11.8408,26.3995,13.1784,10.7667,7.8782,21.0219,10.0347,1.233,0.0,3.7907,6.0259,6.490399999999999,24.4512,6.5537,13.8757,8.976,12.5286,20.759400000000003,2.9583000000000004,2.3641,26.7876,12.0774,8.9704,24.2802,10.2035,11.9187,6.1903999999999995,11.5497,8.8657,6.362100000000001,25.9331,2.9314,22.1105,5.8401000000000005,23.7729,20.7773,4.1352,14.9667,12.4835
EVS01816,6.1612,15.4366,15.4007,27.0976,16.738400000000002,15.2051,11.4381,20.0503,10.7328,4.8706000000000005,3.7308,0.0,6.850899999999999,7.1885,25.1494,8.6925,14.5738,8.0044,13.2267,21.4575,6.5182,5.924,27.4857,16.9735,9.6685,23.3086,17.4668,16.1005,9.2871,19.3398,14.3616,7.0602,26.6312,6.4914,22.8087,8.9368,24.4711,19.8057,7.6951,15.6648,13.1816
EVS03706,2.94,5.5378,11.251,25.5333,11.1322,5.4252,6.907100000000001,26.9563,3.9122,6.2065,6.0276000000000005,6.8449,0.0,3.9924,23.585,2.0609,13.0095,14.9105,6.4061,19.8932,7.126600000000001,7.0833,25.9214,6.5999,5.4671,30.214599999999997,7.0931999999999995,6.4583,3.2100999999999997,8.9662,4.0848,4.1735,25.0669,7.151,21.2443,4.439100000000001,22.9067,26.7117,7.2458,8.8201,6.361
EVS01192,2.3195,9.1519,15.3398,22.3112,15.221,8.920399999999999,9.9773,26.7736,4.2091,7.2161,7.0237,7.7168,4.0818,0.0,20.3629,5.9866,9.7874,14.7277,6.435,16.6711,8.2104,8.0929,22.6993,10.6887,1.6567,30.0319,11.182,9.8157,7.2203,13.055,8.0769,1.4154,21.8448,7.817,18.0222,7.4482,19.6846,26.529,8.5897,9.3801,6.8968
EVS00826,21.0493,27.0219,33.209900000000005,4.45,33.0911,26.7904,31.3101,33.472699999999996,21.5274,24.7295,23.589599999999997,24.2827,22.8475,18.7931,0.0,27.988,15.7592,38.8326,23.7532,12.1118,26.8756,26.7581,17.2844,28.5587,18.8175,36.731,29.0521,27.6858,25.986,30.925,25.946900000000003,18.757,3.9836,26.4822,12.6073,26.2139,1.4197,33.2281,27.355400000000003,27.2501,24.7669
EVS01689,4.978800000000001,4.696,10.4263,31.829099999999997,10.3075,4.464600000000001,5.8048,27.6076,7.6669,6.8578,6.6789,9.3039,2.1281999999999996,6.150399999999999,29.8808,0.0,19.3053,15.5617,9.8278,26.189,7.2567,7.8487,32.2172,5.7752,10.8135,30.8659,6.2686,5.6166,2.1078,8.1415,2.5636,6.2876,31.3627,7.2811,27.5401,3.3368,29.2025,27.363,7.3759,9.5316,10.3445
EVS04365,11.4588,17.4314,23.6194,19.493599999999997,23.5006,17.2,21.7196,33.749,11.9369,15.139,13.9991,14.6923,13.257,9.2026,17.5454,18.3975,0.0,21.7032,14.1628,13.8535,17.2851,17.1676,19.8817,18.9683,9.227,37.0073,19.461599999999997,18.0953,16.3955,21.3346,16.3565,9.1666,19.0272,16.8917,15.2047,16.6234,16.867,33.504400000000004,17.7649,17.659599999999998,15.1764
EVS01245,13.2982,22.5737,18.8059,36.7979,20.1436,22.3422,14.8433,15.5635,17.8699,9.1523,9.5566,8.9739,13.9879,14.3256,37.043800000000005,16.0172,21.7109,0.0,20.3637,28.5946,9.4085,9.3292,34.622800000000005,18.2263,16.8056,18.821900000000003,17.701900000000002,23.2375,14.6796,18.2113,17.4668,14.197299999999998,36.2132,9.8966,29.9457,13.9513,38.4434,15.319,10.5479,22.8019,20.3186
EVS02923,7.7534,9.1417,15.3297,26.5297,15.2109,8.9103,13.4299,32.142900000000004,2.5206999999999997,12.5855,12.393,13.086200000000002,6.4139,6.3519,24.5815,10.1078,14.0059,20.097,0.0,20.8896,13.5797,13.4622,26.9178,10.6786,5.5142,35.401199999999996,11.1719,9.4361,11.0193,13.0449,8.0668,6.9343,26.0633,13.1863,22.2408,12.2483,23.9032,31.8983,14.0595,4.581,1.3378
EVS02443,18.7356,24.7082,30.8962,15.2453,30.7774,24.4768,28.9965,44.268,19.2137,22.4158,21.276,21.969099999999997,20.5338,16.479400000000002,13.2971,25.6744,13.4455,28.98,21.4396,0.0,24.562,24.4444,10.5198,26.245099999999997,16.5038,47.526300000000006,26.7384,25.3721,23.672400000000003,28.6114,23.6333,16.4434,14.7789,24.1685,3.9387,23.9002,12.6187,44.0234,25.0418,24.936400000000003,22.4532
EVS00810,6.64,10.784,9.6352,29.2646,10.9729,10.5526,5.6726,21.9101,11.2117,1.8149,2.9583000000000004,6.9635,7.196899999999999,7.6674,27.3163,7.238,16.7408,9.8643,13.7055,23.6245,0.0,0.5942000000000001,29.6527,9.0556,10.1473,25.1685,8.5313,11.7046,5.5089,9.0406,8.296100000000001,7.5391,28.7982,0.1621999999999999,24.9756,4.780600000000001,26.638,21.6655,1.5173,15.6196,13.6604
EVS00552,6.5225,11.3782,10.2294,28.6705,11.567,11.1467,6.2668,21.316,11.0942,1.3197,2.3642,6.3694,7.0793,7.5499,26.7223,7.6072,16.1467,9.2702,13.588,23.0304,0.5942000000000001,0.0,29.0586,9.6498,10.0298,24.5744,9.1254,12.2987,6.1031,9.6347,8.8903,7.421600000000001,28.204099999999997,0.5677000000000001,24.3816,5.3748000000000005,26.0439,21.0715,2.1114,16.0261,13.5429
EVS04298,25.2797,31.2523,37.4402,20.9681,37.3214,31.0208,35.5405,49.9907,25.7578,28.9599,27.82,28.5131,27.077900000000003,23.0235,19.0198,32.2184,19.9895,35.524,27.9836,11.2308,31.106,30.9885,0.0,32.7891,23.0479,53.249,33.2825,31.9161,30.2164,35.1554,30.1773,22.9874,20.5017,30.7126,8.8591,30.4443,18.3415,49.7461,31.5858,31.4805,28.9973
EVS04889,12.2999,2.8139000000000003,4.2721,32.811099999999996,4.6801,1.8632,6.501,30.0043,8.649,9.9091,11.2696,17.6327,7.1544,10.8984,30.8629,6.8111999999999995,20.2874,17.9585,10.8099,27.1711,8.8625,9.4545,33.1993,0.0,11.7956,33.2626,0.6436000000000001,4.349600000000001,5.9336,2.514,3.1643000000000003,11.4808,32.3448,8.886899999999999,28.5222,5.7801,30.1846,29.7597,8.9817,10.5137,11.3266
EVS02893,4.9607,10.2494,16.4373,21.1504,16.3185,10.0179,14.5376,27.2479,3.9839,8.638,7.4981,8.1912,6.0666,2.7045,19.2021,11.2155,8.6266,15.2021,6.2098,15.5103,10.195200000000002,9.769,21.5385,11.7862,0.0,30.5063,12.2795,10.5438,12.1269,14.1525,9.1744,2.6685,20.684,10.3936,16.8614,9.433,18.5238,27.0033,10.5745,10.1081,6.7265
EVS04734,28.8842,38.1596,34.3919,34.6486,35.7295,37.9282,30.4293,4.1613,33.4559,24.7382,25.1426,24.5598,29.5739,29.9116,34.8945,31.6032,37.296800000000005,19.481900000000003,35.9497,46.9862,24.9945,24.9152,52.1588,33.8123,32.3915,0.0,33.2879,38.8235,30.2656,33.7972,33.052800000000005,29.7833,34.063900000000004,25.4825,47.4817,29.5373,36.2941,6.847300000000001,26.1338,38.387800000000006,35.9046
EVS01509,12.0785,3.3781,4.5553,32.5897,4.9411000000000005,2.2974,6.122199999999999,29.746599999999997,8.4276,9.6514,10.1967,13.389,6.7139,10.677,30.6415,5.780399999999999,20.065900000000003,17.7008,10.5884,26.9496,8.6048,9.1969,32.9778,0.6527999999999999,11.5742,33.0049,0.0,4.546600000000001,4.3024,2.7751,3.1127,11.2594,32.1233,8.6292,28.3008,5.522399999999999,29.963099999999997,29.502,8.724,10.2923,11.1051
EVS02225,11.164,1.6361,9.2004,31.6752,9.0816,2.7291,8.777299999999999,35.5535,7.5131,12.5975,12.4186,16.4968,6.388199999999999,9.7625,29.727,5.8331,19.1514,23.5077,9.674,26.0351,11.8934,12.4854,32.0634,4.3353,10.6597,38.811800000000005,4.5468,0.0,6.7445,6.9156,3.2377,10.3449,31.2088,11.9177,27.3863,7.9735,29.0487,35.3089,12.0125,5.8335,6.735
EVS04773,5.4601999999999995,5.2751,7.3774,28.1728,8.5626,5.0436000000000005,4.4482,26.649099999999997,8.246,6.5539,6.2715,9.2778,2.9253,6.6319,26.2246,1.7291,15.649,14.6033,10.4069,22.5327,5.5074,6.099399999999999,28.5609,6.3543,11.3926,29.9075,4.4992,6.195600000000001,0.0,6.3966,2.7872,6.769100000000001,27.7064,5.5317,23.8839,1.5875,25.5462,26.4046,5.6265,10.1107,8.1474
EVS01283,14.1126,5.8767,2.9548,34.6238,2.836,4.548,7.84,30.3863,10.4617,10.2911,11.6516,19.445400000000003,8.9671,12.7111,32.675599999999996,8.623899999999999,22.1001,18.3404,12.6226,28.9838,9.2445,9.8365,35.012,2.5716,13.6083,33.6446,2.8549,6.7973,6.3155,0.0,5.3633999999999995,13.2935,34.1575,9.2689,30.3349,6.162,31.9973,30.1417,9.3637,12.3264,13.1393
EVS02094,9.2076,2.2247,7.7665,29.7188,7.6477,1.8581,5.5962,29.3365,5.5567,9.2413,8.9589,14.5404,4.0352,7.806100000000001,27.7706,2.5199000000000003,17.195,17.2907,7.7176,24.0787,8.194700000000001,8.7868,30.107,3.1154,8.703299999999999,32.5949,3.1129,3.1452,3.0459,5.4817,0.0,8.3885,29.2524,8.219100000000001,25.4299,4.2749,27.0923,29.092,8.3139,7.421399999999999,8.2343
EVS03684,1.7429,8.8613,15.0493,22.3621,14.9305,8.6299,13.1496,25.9672,4.1576,6.409800000000001,6.2173,6.9105,3.8136,0.8212,20.4139,5.7822,9.838299999999998,13.9214,6.6514,16.722,7.404,7.2865,22.7503,10.3982,2.548,29.2255,10.8915,9.5252,6.952100000000001,12.7645,7.7864,0.0,21.8957,7.3774,18.0732,7.18,19.7356,25.7226,8.3215,9.0896,6.6063
EVS04400,23.5519,29.5245,35.7125,1.4283,35.5937,29.2931,33.8128,30.745099999999997,24.03,27.2321,26.0923,26.785400000000003,25.3501,21.2957,2.587,30.490599999999997,18.2618,36.105,26.2559,14.6144,29.3783,29.2607,19.787,31.061400000000003,21.3201,34.0034,31.5547,30.1884,28.4887,33.427699999999994,28.4496,21.2597,0.0,28.9848,15.1099,28.7165,3.9223,30.5005,29.8581,29.7527,27.2695
EVS00534,6.2693,11.2797,10.1309,29.238,11.4686,11.0482,6.1683,21.8835,10.841,1.7883,2.9316,6.9369,6.8152,7.6408,27.2897,7.343,16.7142,9.8377,13.3348,23.597900000000003,0.1621999999999999,0.5676,29.626099999999997,9.5513,9.7767,25.1418,9.0269,12.2002,6.0046,9.5363,8.791799999999999,7.5125,28.7716,0.0,24.949,5.2763,26.6114,21.638900000000003,1.4279000000000002,15.7729,13.2897
EVS02556,19.9604,25.933,32.121,15.6488,32.0022,25.7016,30.2213,44.6715,20.4385,23.6407,22.5008,23.193900000000003,21.7586,17.7042,13.7006,26.8992,14.6703,30.2048,22.6644,3.9387,25.7868,25.6692,8.1482,27.469900000000003,17.7286,47.9298,27.9632,26.5969,24.8972,29.8362,24.8581,17.668200000000002,15.1824,25.3933,0.0,25.125,13.0223,44.4269,26.266599999999997,26.1612,23.678
EVS01342,6.487,6.8225,7.2719,29.1996,8.4571,5.689100000000001,3.2843,26.2467,10.2143,6.1515,6.247,9.839,4.4986999999999995,7.6587,27.2513,3.3025,16.6758,14.2008,12.3752,23.5595,5.1049,5.696899999999999,29.5877,6.3062,13.3609,29.505,5.7818000000000005,7.743,1.5734,6.2911,4.8789,7.7959,28.7332,5.1293,24.9106,0.0,26.573,26.0021,5.2241,12.079,9.7208
EVS03542,20.0376,26.0102,32.1982,4.6384,32.0794,25.7788,30.2985,33.661,20.5158,23.7179,22.578,23.271099999999997,21.8359,17.7814,2.6900999999999997,26.9764,14.7475,39.020900000000005,22.7416,11.1001,25.864,25.7464,16.2727,27.547099999999997,17.805799999999998,36.9194,28.0404,26.6741,24.974400000000003,29.913400000000003,24.9353,17.7454,4.172,25.4705,11.5956,25.2022,0.0,33.4165,26.3438,26.2384,23.7552
EVS02273,25.3971,34.672599999999996,30.9048,31.1616,32.2425,34.4411,26.9422,3.6312,29.9688,21.2512,21.6555,21.0728,26.0868,26.4245,31.4075,28.1161,33.8098,15.9948,32.4626,43.499199999999995,21.5074,21.428099999999997,48.671699999999994,30.3252,28.9045,6.8895,29.8008,35.336400000000005,26.7785,30.3102,29.5657,26.2962,30.5769,21.9955,43.994699999999995,26.0502,32.8071,0.0,22.6468,34.900800000000004,32.4175
EVS03776,7.5617,10.4893,9.3405,30.2742,10.6782,10.2579,5.3778999999999995,22.792,12.0056,3.3203,4.4637,8.4689,7.3497,8.7334,28.326,6.9433,17.7505,10.7462,15.6211,24.6341,1.5075999999999998,2.0997,30.6624,8.7609,10.2078,26.0504,8.236600000000001,11.4099,5.2142,8.745899999999999,8.0014,8.8706,29.8079,1.532,25.9853,4.4859,27.6477,22.5475,0.0,15.3249,14.4543
EVS04293,9.9879,6.0013000000000005,15.5438,29.9486,15.425,7.6425,13.644,34.3774,6.428,14.82,14.6276,15.3207,8.0287,8.5864,28.0003,8.742700000000001,17.424799999999998,22.3316,4.5796,24.3085,14.8029,15.6967,30.3367,10.8927,10.4423,37.6358,11.386,5.8205,9.6541,13.259,8.2808,9.1688,29.4822,14.8273,25.6596,10.8831,27.322,34.1329,14.9221,0.0,3.7639
EVS00405,7.7068,6.9658999999999995,15.8457,27.6675,15.7269,9.4263,13.946,32.0963,3.0961999999999996,12.5389,12.3465,13.0396,6.3673,6.3053,25.7192,10.6239,15.1437,20.0505,1.3363,22.0274,13.5331,13.4156,28.0556,11.1946,6.0302,35.354699999999994,11.6879,6.722,8.4395,13.5609,8.582799999999999,6.8877,27.2011,13.1397,23.3785,9.6685,25.0409,31.8518,14.013,3.7639,0.0
