,DEPOT,C001,C002,C003,C004,C005,C006,C007,C008,C009,C010,C011,C012,C013,C014,C015,C016,C017,C018,C019,C020,C021,C022,C023,C024,C025,EVS01816,EVS03706,EVS01192,EVS00826,EVS01689,EVS04365,EVS01245,EVS02923,EVS02443,EVS00810,EVS00552,EVS04298,EVS04889,EVS02893,EVS04734,EVS01509,EVS02225,EVS04773,EVS01283,EVS02094,EVS03684,EVS04400,EVS00534,EVS02556,EVS01342,EVS03542,EVS02273,EVS03776,EVS04293,EVS00405
C010,538.1,1078.6,1061.1,1698.9,1151.9,1014.5,778.2,1345.2,819.6,154.4,0.0,720.9,1035.4,699.1,423.3,739.7,459.1,612.9,842.7,1137.8,358.8,864.7,1476.7,409.3,473.9,796.0,419.7,574.8,655.5,1622.2,615.2,1296.5,722.2,1059.3,1663.0,283.0,260.2,2025.4,977.5,763.2,1656.5,1014.1,1137.6,571.1,1034.1,858.0,650.3,1701.3,290.3,1689.0,587.0,1586.5,1403.7,392.8,1101.6,995.7
C011,1000.2,927.7,404.3,2215.1,495.1,806.6,120.1,1906.2,1006.5,672.9,736.5,0.0,478.8,1120.1,459.1,1084.5,1014.7,712.3,847.5,1186.5,990.0,512.3,2037.7,465.3,801.1,459.4,1117.3,848.1,1066.7,2138.4,714.6,1812.7,1283.2,1219.4,2179.2,564.5,616.3,2541.6,628.1,1097.7,2217.5,670.3,1007.1,533.2,628.6,718.3,1111.8,2217.5,566.9,2205.2,485.2,2102.7,1964.7,466.2,1150.3,1232.9
C012,923.2,573.7,130.2,1946.7,307.5,452.6,412.6,2208.0,701.7,974.7,1038.3,505.2,0.0,836.3,745.8,813.0,970.2,699.0,1149.3,881.7,1101.1,339.7,2339.5,687.5,924.8,369.3,1396.6,774.8,825.9,1870.0,701.3,1544.3,1585.0,914.6,1910.8,866.3,918.1,2273.2,274.1,792.9,2519.3,331.4,653.1,574.3,263.3,514.5,887.9,1949.1,868.7,1936.8,614.8,1834.3,2266.5,880.9,845.5,928.1
C013,309.4,681.2,853.5,1172.2,863.8,617.1,1028.1,1957.8,268.1,838.6,711.1,1110.1,834.9,0.0,702.5,227.0,299.4,630.0,1153.2,651.7,470.1,805.3,2089.3,688.5,360.0,780.9,827.8,517.1,157.4,1095.5,689.4,769.8,1334.8,501.8,1136.3,915.9,906.0,1498.7,572.1,124.2,2269.1,643.7,683.9,766.3,701.6,465.1,183.8,1174.6,922.8,1162.3,852.6,1059.8,2016.3,938.5,615.5,515.3
C014,595.2,815.3,793.8,1810.1,874.0,751.2,482.9,1616.7,853.1,383.4,430.6,426.5,737.5,715.1,0.0,679.5,609.7,441.6,558.0,1033.1,585.0,542.4,1748.2,60.3,396.1,473.0,778.9,468.4,661.7,1733.4,443.9,1407.7,993.7,1066.0,1774.2,275.0,326.8,2136.6,708.8,777.5,1928.0,703.5,874.3,260.5,711.8,570.4,706.8,1812.5,277.4,1800.2,238.0,1697.7,1675.2,289.6,996.9,1040.2
C015,325.0,657.4,829.7,1340.5,840.0,593.3,1004.3,1973.4,232.1,819.4,726.7,1059.6,811.1,230.1,652.0,0.0,335.0,554.0,1106.8,627.9,485.7,781.5,2104.9,638.0,375.6,757.1,843.4,446.3,193.0,1263.8,655.6,938.1,1350.4,465.8,1304.6,877.5,886.8,1667.0,548.3,260.0,2284.7,619.9,660.1,715.8,677.8,441.3,278.3,1342.9,879.9,1330.6,802.1,1228.1,2031.9,892.1,591.7,479.3
C016,112.5,796.5,968.8,1351.2,979.1,732.4,1024.6,1700.8,446.8,581.6,454.1,1015.9,950.2,292.1,608.3,323.4,0.0,552.4,1023.5,765.0,213.1,920.6,1832.3,594.3,280.2,896.2,570.8,437.3,196.4,1274.5,654.0,948.8,1077.8,686.5,1315.3,658.9,649.0,1677.7,687.4,354.5,2012.1,759.0,797.2,686.5,816.9,580.4,191.2,1353.6,667.0,1341.3,772.0,1238.8,1759.3,776.1,728.8,622.9
C017,501.4,630.4,763.1,1716.3,821.0,566.3,592.1,1920.9,531.8,653.6,593.5,710.4,706.8,621.3,435.3,550.7,550.3,0.0,933.9,848.2,568.4,511.7,2052.4,400.6,302.3,443.0,852.9,189.0,567.9,1639.6,167.0,1313.9,1297.9,771.5,1680.4,691.4,721.0,2042.8,529.3,683.7,2232.2,600.9,689.4,235.8,658.8,409.8,613.0,1718.7,693.8,1706.4,380.3,1603.9,1979.4,706.0,812.0,707.9
C018,690.0,949.7,808.0,1904.9,898.8,885.6,525.1,1553.5,966.8,320.2,383.8,467.8,782.3,809.9,214.8,792.0,680.2,576.0,0.0,1167.5,662.3,632.2,1685.0,193.3,490.9,556.2,764.6,580.9,756.5,1828.2,578.3,1502.5,930.5,1200.4,1869.0,211.8,263.6,2231.4,792.6,872.3,1864.8,787.4,1008.7,394.9,795.6,704.8,801.6,1907.3,214.2,1895.0,371.0,1792.5,1612.0,226.4,1131.3,1142.9
C019,751.5,595.9,984.1,1775.2,994.4,669.2,1158.7,2417.1,592.8,1297.9,1170.4,1277.2,965.5,726.8,1110.7,647.6,798.5,901.3,1615.3,0.0,929.4,935.9,2548.6,1076.0,831.3,911.5,1287.1,864.2,654.2,1698.5,819.2,1372.8,1794.1,613.5,1739.3,1366.8,1365.3,2101.7,702.7,688.4,2728.4,774.3,559.2,911.2,832.2,595.7,716.2,1777.6,1369.2,1765.3,1055.7,1662.8,2475.6,1381.4,36.2,488.3
C020,298.8,930.0,1102.3,1519.0,1112.6,865.9,1016.8,1593.9,580.3,476.9,351.4,960.4,1083.7,470.6,552.8,500.4,219.8,573.6,972.2,898.5,0.0,993.2,1725.4,538.8,299.3,924.5,463.9,514.9,416.2,1442.3,675.2,1116.6,970.9,820.0,1483.1,555.9,546.0,1845.5,820.9,523.9,1905.2,892.5,930.7,699.6,950.4,713.9,411.0,1521.4,564.0,1509.1,716.5,1406.6,1652.4,673.1,862.3,756.4
C021,920.4,561.2,394.7,1943.9,472.6,450.0,440.5,2048.8,698.9,815.5,860.6,538.2,336.1,833.5,546.7,810.2,967.4,499.9,990.1,878.9,988.7,0.0,2180.3,488.4,725.7,170.2,1197.5,635.7,823.1,1867.2,502.2,1541.5,1425.8,911.8,1908.0,707.1,758.9,2270.4,307.4,790.1,2360.1,302.7,620.2,375.2,310.4,415.7,885.1,1946.3,709.5,1934.0,415.7,1831.5,2107.3,721.7,842.7,925.3
C022,1912.1,2543.3,2346.9,1901.2,2437.7,2479.2,2064.0,544.3,2193.6,1538.7,1533.7,2006.7,2321.2,2073.1,1792.1,2113.7,1833.1,2112.3,2121.6,2511.8,1727.4,2171.1,0.0,1798.3,1891.2,2095.1,1551.8,2056.1,2029.5,1883.4,2124.7,2670.5,1226.9,2433.3,2700.2,1565.5,1546.0,2992.9,2331.5,2137.2,855.6,2326.3,2544.0,1998.5,2334.5,2308.4,2024.3,1898.8,1576.1,2656.5,1976.0,1954.7,451.9,1664.3,2475.6,2369.7
C023,572.6,775.5,733.5,1787.5,813.7,711.4,479.3,1656.1,813.3,422.8,408.0,465.9,677.2,692.5,58.3,656.9,587.1,401.8,561.5,993.3,562.4,482.1,1787.6,0.0,373.5,412.7,756.3,445.8,639.1,1710.8,404.1,1385.1,1033.1,1026.2,1751.6,314.4,366.2,2114.0,648.5,754.9,1967.4,643.8,834.5,220.7,651.5,530.6,684.2,1789.9,316.8,1777.6,177.7,1675.1,1714.6,329.0,957.1,1017.6
C024,242.8,822.2,996.5,1457.7,1006.8,743.4,791.8,1754.0,520.1,533.8,473.7,797.5,942.4,362.7,389.9,373.3,291.7,341.6,830.3,838.3,326.2,747.3,1885.5,375.9,0.0,678.6,624.0,285.4,309.3,1381.0,443.2,1055.3,1131.0,759.8,1421.8,601.0,601.2,1784.2,715.1,425.1,2065.3,786.7,870.5,453.7,844.6,623.4,354.4,1460.1,603.4,1447.8,540.0,1345.3,1812.5,615.6,802.1,696.2
C025,846.5,549.1,429.5,1931.8,507.4,437.9,362.2,1970.7,686.8,737.4,782.3,470.0,370.9,821.4,468.4,798.1,895.4,421.6,912.0,866.8,910.4,148.7,2102.2,410.1,647.4,0.0,1119.2,557.4,811.0,1855.1,423.9,1529.4,1347.7,899.7,1895.9,629.0,680.8,2258.3,342.2,778.0,2282.0,337.5,608.1,296.9,345.2,405.7,873.0,1934.2,631.4,1921.9,337.4,1819.4,2029.2,643.6,830.6,913.2
EVS01816,653.4,1284.6,1372.9,1814.2,1463.7,1220.5,1090.0,1312.6,934.9,545.4,408.8,1032.7,1347.2,814.4,768.8,855.0,574.4,853.6,1161.9,1253.1,468.7,1197.1,1444.1,754.8,632.5,1121.1,0.0,797.4,770.8,1737.5,934.7,1411.8,689.6,1174.6,1778.3,594.8,572.0,2140.7,1175.5,878.5,1623.9,1247.1,1285.3,916.6,1305.0,1068.5,765.6,1816.6,602.1,1804.3,932.5,1701.8,1371.1,704.6,1216.9,1111.0
EVS03706,399.9,613.7,788.0,1609.4,798.3,534.9,728.0,1904.4,484.7,637.1,577.0,846.3,769.4,517.3,469.7,438.7,448.8,193.8,924.5,808.3,500.0,647.6,2035.9,455.7,246.1,578.9,796.7,0.0,461.0,1532.7,295.5,1207.0,1281.4,724.4,1573.5,695.2,704.5,1935.9,506.6,579.7,2215.7,578.2,672.7,371.7,636.1,414.9,508.0,1611.8,697.6,1599.5,516.2,1497.0,1962.9,709.8,772.1,660.8
EVS01192,231.4,694.6,866.9,1227.8,877.2,630.5,1026.4,1879.8,315.9,760.6,633.1,1032.1,848.3,142.0,624.5,141.7,221.4,552.0,1075.2,663.1,392.1,818.7,2011.3,610.5,282.0,794.3,749.8,439.1,0.0,1151.1,653.6,825.4,1256.8,549.6,1191.9,837.9,828.0,1554.3,585.5,189.0,2191.1,657.1,695.3,688.3,715.0,478.5,164.7,1230.2,844.8,1217.9,774.6,1115.4,1938.3,860.5,626.9,521.0
EVS00826,1167.5,1604.1,1776.4,284.9,1786.7,1540.0,1951.0,1911.0,1223.4,1694.7,1558.1,1997.4,1757.8,983.2,1589.8,1150.6,1167.0,1519.5,2040.5,1572.6,1345.4,1728.2,2042.5,1575.8,1247.3,1703.8,1674.8,1404.4,1008.9,0.0,1612.3,1017.8,2157.5,1457.1,857.4,1791.2,1781.3,1150.1,1495.0,1069.8,2222.3,1566.6,1604.8,1653.6,1624.5,1388.0,1011.8,287.3,1790.7,813.7,1739.9,111.9,1969.5,1825.8,1536.4,1430.5
EVS01689,626.0,535.8,716.1,1818.6,726.4,471.7,622.9,1994.3,573.6,727.0,666.9,741.2,697.5,708.2,466.1,675.3,674.9,192.9,970.7,753.6,693.0,542.5,2125.8,431.4,426.9,473.8,964.4,313.6,692.5,1741.9,0.0,1416.2,1371.3,786.5,1782.7,722.2,774.0,2145.1,434.7,664.8,2305.6,506.3,594.8,266.6,564.2,315.2,737.6,1821.0,724.6,1808.7,411.1,1706.2,2052.8,736.8,717.4,800.0
EVS04365,846.7,1283.3,1455.6,1271.6,1465.9,1219.2,1630.2,2484.0,902.6,1373.9,1237.3,1676.6,1437.0,662.4,1269.0,829.8,846.2,1198.7,1719.7,1251.8,1024.6,1407.4,2615.5,1255.0,926.5,1383.0,1354.0,1083.6,688.1,1194.9,1291.5,0.0,1861.0,1136.3,1235.7,1470.4,1460.5,1598.1,1174.2,749.0,2795.3,1245.8,1284.0,1332.8,1303.7,1067.2,691.0,1274.0,1469.9,1261.7,1419.1,1159.2,2542.5,1505.0,1215.6,1109.7
EVS01245,1155.4,1786.6,1590.2,2031.9,1681.0,1722.5,1307.3,1055.6,1436.9,782.0,777.0,1250.0,1564.5,1316.4,1035.4,1357.0,1076.4,1355.6,1364.9,1755.1,970.7,1414.4,1187.1,1041.6,1134.5,1338.4,795.1,1299.4,1272.8,2014.1,1368.0,1913.8,0.0,1676.6,2280.3,808.8,789.3,2642.7,1574.8,1380.5,1366.9,1569.6,1787.3,1241.8,1577.8,1551.7,1267.6,2029.5,819.4,2306.3,1219.3,2085.4,1114.1,907.6,1718.9,1613.0
EVS02923,634.0,751.8,924.1,1611.0,934.4,687.7,1098.7,2299.6,287.1,1180.4,1052.9,1217.2,905.5,500.6,1051.5,456.1,681.0,769.8,1507.0,617.0,811.9,875.9,2431.1,1016.8,713.8,851.5,1169.6,732.7,536.7,1534.3,760.0,1208.6,1676.6,0.0,1575.1,1257.7,1247.8,1937.5,642.7,457.2,2610.9,714.3,754.5,852.0,772.2,535.7,598.7,1613.4,1257.2,1601.1,996.5,1498.6,2358.1,1292.3,580.8,166.7
EVS02443,1324.8,1761.4,1933.7,1046.1,1944.0,1697.3,2108.3,2672.2,1380.7,1852.0,1715.4,2154.7,1915.1,1140.5,1747.1,1307.9,1324.3,1676.8,2197.8,1729.9,1502.7,1885.5,2803.7,1733.1,1404.6,1861.1,1832.1,1561.7,1166.2,969.4,1769.6,1175.1,2339.1,1614.4,0.0,1948.5,1938.6,1043.7,1652.3,1227.1,2983.5,1723.9,1762.1,1810.9,1781.8,1545.3,1169.1,1048.5,1948.0,573.0,1897.2,933.7,2730.7,1983.1,1693.7,1587.8
EVS00810,747.9,1101.5,895.1,1957.9,985.9,1037.4,612.2,1452.9,1029.4,212.2,283.2,554.9,869.4,919.7,340.3,915.5,668.9,727.8,639.5,1319.3,586.3,719.3,1584.4,346.5,603.5,643.3,664.0,704.4,865.3,1881.2,730.1,1555.5,829.9,1269.1,1922.0,0.0,82.7,2284.4,879.7,973.0,1764.2,874.5,1160.5,546.7,882.7,856.6,860.1,1960.3,27.7,1948.0,524.2,1845.5,1511.4,182.2,1283.1,1205.5
EVS00552,744.4,1144.3,937.9,1935.9,1028.7,1080.2,655.0,1430.9,1025.9,193.5,261.2,597.7,912.2,916.2,383.1,912.0,665.4,739.0,682.3,1344.1,582.8,762.1,1562.4,389.3,600.0,686.1,642.0,700.9,861.8,1859.2,741.3,1533.5,807.9,1265.6,1900.0,82.6,0.0,2262.4,922.5,969.5,1742.2,917.3,1203.3,589.5,925.5,899.4,856.6,1938.3,85.9,1926.0,567.0,1823.5,1489.4,225.0,1307.9,1202.0
EVS04298,1702.0,2138.6,2310.9,1361.8,2321.2,2074.5,2485.5,2987.9,1757.9,2229.2,2092.6,2531.9,2292.3,1517.7,2124.3,1685.1,1701.5,2054.0,2575.0,2107.1,1879.9,2262.7,3119.4,2110.3,1781.8,2238.3,2209.3,1938.9,1543.4,1285.1,2146.8,1552.3,2716.3,1991.6,1129.4,2325.7,2315.8,0.0,2029.5,1604.3,3299.2,2101.1,2139.3,2188.1,2159.0,1922.5,1546.3,1364.2,2325.2,956.8,2274.4,1249.4,3046.4,2360.3,2070.9,1965.0
EVS04889,724.7,316.7,344.5,1748.2,402.3,195.6,564.4,2191.4,503.2,958.1,1003.2,657.0,285.9,637.8,689.3,614.5,771.7,613.4,1132.7,683.2,902.6,283.2,2322.9,631.0,756.2,312.8,1260.3,576.3,627.4,1671.5,529.3,1345.8,1568.4,716.1,1712.3,849.7,901.5,2074.7,0.0,594.4,2502.7,89.5,396.1,517.8,240.1,311.5,689.4,1750.6,852.1,1738.3,558.3,1635.8,2249.9,864.3,647.0,729.6
EVS02893,387.1,697.1,869.4,1194.8,879.7,633.0,1044.0,1987.9,284.0,877.8,741.2,1162.5,850.8,139.0,791.2,296.7,386.6,718.7,1241.9,667.6,558.8,821.2,2119.4,777.2,448.7,796.8,857.9,605.8,228.5,1118.1,705.3,792.4,1364.9,517.7,1158.9,1004.6,983.6,1521.3,588.0,0.0,2299.2,659.6,699.8,797.3,717.5,481.0,231.4,1197.2,1010.3,1184.9,941.3,1082.4,2046.4,1027.2,631.4,531.2
EVS04734,2090.9,2722.1,2525.7,2080.0,2616.5,2658.0,2242.8,448.0,2372.4,1717.5,1712.5,2185.5,2500.0,2251.9,1970.9,2292.5,2011.9,2291.1,2300.4,2690.6,1906.2,2349.9,848.9,1977.1,2070.0,2273.9,1730.6,2234.9,2208.3,2062.2,2303.5,2849.3,1405.7,2612.1,2879.0,1744.3,1724.8,3171.7,2510.3,2316.0,0.0,2505.1,2722.8,2177.3,2513.3,2487.2,2203.1,2077.6,1754.9,2835.3,2154.8,2133.5,756.3,1843.1,2654.4,2548.5
EVS01509,804.4,398.5,401.8,1827.9,463.1,276.7,599.4,2207.7,582.9,974.4,998.4,702.2,343.2,717.5,687.1,694.2,851.4,604.3,1149.0,762.9,982.3,299.5,2339.2,647.3,834.8,329.1,1335.3,654.9,707.1,1751.2,593.1,1425.5,1584.7,795.8,1792.0,866.0,917.8,2154.4,82.8,674.1,2519.0,0.0,462.2,479.6,300.9,313.8,769.1,1830.3,868.4,1818.0,574.6,1715.5,2266.2,880.6,726.7,809.3
EVS02225,795.1,172.4,696.3,1818.6,706.6,266.6,922.6,2460.7,573.6,1214.5,1154.4,1040.9,677.7,708.2,869.7,684.9,842.1,680.7,1374.3,559.0,973.0,621.5,2592.2,835.0,823.5,654.2,1330.7,643.6,697.8,1741.9,578.2,1416.2,1837.7,786.5,1782.7,1125.8,1177.6,2145.1,400.1,664.8,2772.0,464.0,0.0,670.2,544.4,333.4,759.8,1821.0,1128.2,1808.7,814.7,1706.2,2519.2,1140.4,522.8,754.1
EVS04773,620.6,554.8,624.7,1835.5,704.9,490.7,453.7,1888.8,592.6,655.5,602.3,566.1,568.4,727.2,291.0,671.6,669.5,181.1,795.6,772.6,696.3,373.3,2020.3,256.3,430.2,304.6,928.4,316.9,687.1,1758.8,183.4,1433.1,1265.8,805.5,1799.6,547.1,598.9,2162.0,453.7,683.8,2200.1,489.0,613.8,0.0,542.7,309.9,732.2,1837.9,549.5,1825.6,236.0,1723.1,1947.3,561.7,736.4,804.7
EVS01283,793.0,473.7,272.4,1816.5,282.7,347.2,597.3,2228.4,571.5,995.1,1040.2,689.9,253.8,706.1,726.3,682.8,840.0,679.5,1169.7,751.5,970.9,320.2,2359.9,668.0,824.5,349.8,1328.6,644.6,695.7,1739.8,597.6,1414.1,1605.4,784.4,1780.6,886.7,938.5,2143.0,248.7,662.7,2539.7,306.0,532.7,554.8,0.0,384.3,757.7,1818.9,889.1,1806.6,595.3,1704.1,2286.9,901.3,715.3,797.9
EVS02094,551.8,286.5,536.3,1575.3,546.6,193.7,608.4,2157.2,330.3,923.9,870.7,726.9,517.7,464.9,559.4,441.6,598.8,407.3,1064.0,510.3,729.7,427.5,2288.7,524.7,589.1,361.2,1087.4,409.2,454.5,1498.6,299.8,1172.9,1534.2,543.2,1539.4,815.5,867.3,1901.8,254.9,421.5,2468.5,304.0,345.5,359.9,384.4,0.0,516.5,1577.7,817.9,1565.4,504.4,1462.9,2215.7,830.1,474.1,556.7
EVS03684,220.0,686.7,859.0,1265.3,869.3,622.6,1033.6,1880.4,337.0,761.2,633.7,1039.3,840.4,202.4,631.7,213.6,182.1,559.9,1082.4,655.2,392.7,810.8,2011.9,617.7,289.2,786.4,750.4,446.3,116.9,1188.6,661.5,862.9,1257.4,576.7,1229.4,838.5,828.6,1591.8,577.6,264.8,2191.7,649.2,687.4,695.5,707.1,470.6,0.0,1267.7,846.6,1255.4,781.8,1152.9,1938.9,867.7,619.0,513.1
EVS04400,1358.2,1794.8,1967.1,159.9,1977.4,1730.7,2141.7,1845.3,1414.1,1885.4,1748.8,2188.1,1948.5,1173.9,1780.5,1341.3,1357.7,1710.2,2231.2,1763.3,1536.1,1918.9,1976.8,1766.5,1438.0,1894.5,1865.5,1595.1,1199.6,286.6,1803.0,1208.5,2091.8,1647.8,1048.1,1981.9,1972.0,1340.8,1685.7,1260.5,2156.6,1757.3,1795.5,1844.3,1815.2,1578.7,1202.5,0.0,1981.4,1004.4,1930.6,302.6,1903.8,2016.5,1727.1,1621.2
EVS00534,743.4,1138.5,932.1,1959.1,1022.9,1074.4,649.2,1454.1,1024.9,213.4,284.4,591.9,906.4,915.2,377.3,908.9,670.1,735.9,676.5,1343.1,587.5,756.3,1585.6,383.5,596.9,680.3,665.2,697.8,866.5,1882.4,738.2,1556.7,831.1,1264.6,1923.2,27.7,83.9,2285.6,916.7,968.5,1765.4,911.5,1197.5,583.7,919.7,893.6,861.3,1961.5,0.0,1949.2,561.2,1846.7,1512.6,182.0,1306.9,1201.0
EVS02556,1353.6,1790.2,1962.5,1013.4,1972.8,1726.1,2137.1,2639.5,1409.5,1880.8,1744.2,2183.5,1943.9,1169.3,1775.9,1336.7,1353.1,1705.6,2226.6,1758.7,1531.5,1914.3,2771.0,1761.9,1433.4,1889.9,1860.9,1590.5,1195.0,936.7,1798.4,1203.9,2367.9,1643.2,571.6,1977.3,1967.4,876.2,1681.1,1255.9,2950.8,1752.7,1790.9,1839.7,1810.6,1574.1,1197.9,1015.8,1976.8,0.0,1926.0,901.0,2698.0,2011.9,1722.5,1616.6
EVS01342,766.2,786.7,649.8,1981.1,730.0,675.5,395.6,1872.1,824.9,638.8,624.0,469.7,593.5,886.1,274.3,850.5,803.1,416.6,777.5,1004.9,778.4,398.4,2003.6,216.0,567.1,329.0,972.3,552.4,832.7,1904.4,418.9,1578.7,1249.1,1037.8,1945.2,530.4,582.2,2307.6,564.8,916.1,2183.4,560.1,845.7,235.5,567.8,536.7,877.8,1983.5,532.8,1971.2,0.0,1868.7,1930.6,545.0,968.7,1040.2
EVS03542,1180.4,1617.0,1789.3,309.7,1799.6,1552.9,1963.9,1935.8,1236.3,1707.6,1571.0,2010.3,1770.7,996.1,1602.7,1163.5,1179.9,1532.4,2053.4,1585.5,1358.3,1741.1,2067.3,1588.7,1260.2,1716.7,1687.7,1417.3,1021.8,233.0,1625.2,1030.7,2182.3,1470.0,870.3,1804.1,1794.2,1163.0,1507.9,1082.7,2247.1,1579.5,1617.7,1666.5,1637.4,1400.9,1024.7,312.1,1803.6,826.6,1752.8,0.0,1994.3,1838.7,1549.3,1443.4
