,DEPOT,C001,C002,C003,C004,C005,C006,C007,C008,C009,C010,C011,C012,C013,C014,C015,C016,C017,C018,C019,C020,C021,C022,C023,C024,C025,C026,C027,C028,C029,C030,C031,C032,C033,C034,C035,C036,C037,C038,C039,C040,C041,C042,C043,C044,C045,C046,C047,C048,C049,C050,EVS01816,EVS03706,EVS01192,EVS00826,EVS01689,EVS04365,EVS01245,EVS02923,EVS02443,EVS00810,EVS00552,EVS04298,EVS04889,EVS02893,EVS04734,EVS01509,EVS02225,EVS04773,EVS01283,EVS02094,EVS03684,EVS04400,EVS00534,EVS02556,EVS01342,EVS03542,EVS02273,EVS03776,EVS04293,EVS00405
C025,846.5,549.1,429.5,1931.8,507.4,437.9,362.2,1970.7,686.8,737.4,782.3,470.0,370.9,821.4,468.4,798.1,895.4,421.6,912.0,866.8,910.4,148.7,2102.2,410.1,647.4,0.0,863.7,914.2,781.0,969.1,629.1,2160.3,385.5,680.4,692.5,1082.1,1367.2,403.9,1117.6,200.3,249.1,998.1,876.7,983.6,806.9,754.0,2144.9,873.2,1460.9,1736.1,669.8,1119.2,557.4,811.0,1855.1,423.9,1529.4,1347.7,899.7,1895.9,629.0,680.8,2258.3,342.2,778.0,2282.0,337.5,608.1,296.9,345.2,405.7,873.0,1934.2,631.4,1921.9,337.4,1819.4,2029.2,643.6,830.6,913.2
C026,61.7,775.2,947.5,1363.1,957.8,711.1,973.5,1801.4,425.5,682.2,554.7,979.2,928.9,268.1,571.6,278.7,126.6,501.3,1022.3,743.7,313.7,899.3,1932.9,557.6,229.1,860.3,0.0,282.6,634.6,440.9,753.5,1591.6,1042.3,670.1,803.7,553.9,1197.9,921.9,409.3,753.0,973.8,316.8,751.7,241.5,283.2,155.4,1975.6,654.2,1291.6,1566.8,928.1,671.4,386.2,214.7,1286.4,602.9,960.7,1178.4,665.2,1327.2,759.5,749.6,1689.6,666.1,330.5,2112.7,737.7,775.9,635.4,795.6,559.1,247.3,1365.5,759.7,1353.2,721.7,1250.7,1859.9,807.6,707.5,601.6
C027,196.6,836.4,1008.7,1308.0,1019.0,772.3,1074.7,1843.1,423.7,723.9,596.4,1080.4,990.1,210.8,672.8,348.1,144.8,602.5,1123.5,804.9,355.4,960.5,1974.6,658.8,330.3,936.1,173.5,0.0,676.3,332.4,854.7,1536.5,1143.5,711.8,845.4,452.2,1239.6,983.1,365.1,814.2,1035.0,254.6,793.4,253.8,352.6,256.6,2017.3,695.9,1333.3,1608.5,989.3,713.1,487.4,223.6,1231.3,704.1,905.6,1220.1,657.4,1272.1,801.2,791.3,1634.5,727.3,297.4,2154.4,798.9,837.1,736.6,856.8,620.3,218.4,1310.4,809.3,1298.1,822.9,1195.6,1901.6,908.8,768.7,662.8
C028,616.4,1156.9,1039.3,1777.2,1130.1,1092.8,756.4,1323.4,897.9,125.1,102.5,699.1,1013.6,777.4,484.5,818.0,537.4,691.2,828.3,1216.1,437.1,863.5,1454.9,487.6,552.2,787.5,628.8,747.3,0.0,687.5,385.6,2005.7,846.7,171.8,245.0,712.4,719.9,1046.6,509.1,843.5,880.5,609.2,193.0,471.0,822.5,665.4,1497.6,229.4,813.6,1088.8,1309.8,498.0,653.1,733.8,1700.5,693.5,1374.8,700.4,1137.6,1741.3,261.2,238.4,2103.7,1023.9,841.5,1634.7,1018.7,1215.9,649.4,1026.9,936.3,728.6,1779.6,268.5,1767.3,665.3,1664.8,1381.9,371.0,1179.9,1074.0
C029,442.6,877.5,1049.8,1148.0,1060.1,813.4,1224.4,1970.0,464.4,859.9,723.3,1272.5,1031.2,254.4,864.9,425.7,428.6,794.6,1315.6,847.7,572.6,1001.6,2101.5,850.9,522.4,977.2,448.7,321.3,803.2,0.0,1046.8,1376.5,1257.3,899.1,972.3,296.1,1366.5,1024.2,350.9,855.3,1076.1,326.3,920.3,456.4,448.6,448.7,2144.2,822.8,1460.2,1735.4,1030.4,840.0,679.5,284.0,1071.3,885.7,745.6,1347.0,698.1,1112.1,988.5,965.7,1474.5,768.4,284.0,2281.3,840.0,879.9,928.7,897.9,661.4,286.9,1150.4,995.8,1138.1,1015.0,1035.6,2028.5,1098.3,811.5,705.6
C030,775.8,1029.0,698.6,1990.7,789.4,964.9,444.0,1585.9,1052.6,352.6,416.2,326.5,773.1,895.7,267.8,877.8,772.8,655.3,519.9,1246.8,723.7,646.8,1717.4,274.0,576.7,570.8,793.0,957.3,396.2,1001.2,0.0,2219.2,474.1,295.6,307.7,1026.1,982.4,748.8,822.8,626.8,640.0,921.4,491.9,782.0,844.6,701.9,1760.1,543.1,1076.1,1351.3,1165.8,797.0,666.7,842.3,1914.0,657.6,1588.3,962.9,1279.7,1954.8,244.2,296.0,2317.2,807.2,958.1,1897.2,802.0,1088.0,474.2,810.2,784.1,887.4,1993.1,246.6,1980.8,451.7,1878.3,1644.4,236.8,1210.6,1228.7
C031,1603.9,2040.5,2212.8,1263.7,2223.1,1976.4,2387.4,2889.8,1659.8,2131.1,1994.5,2433.8,2194.2,1419.6,2026.2,1587.0,1603.4,1955.9,2476.9,2009.0,1781.8,2164.6,3021.3,2012.2,1683.7,2140.2,1610.0,1538.9,2074.4,1486.1,2208.1,0.0,2420.3,2138.2,2243.5,1536.2,2637.7,2187.2,1630.9,2018.3,2239.1,1539.3,2191.5,1669.4,1611.8,1610.0,3064.0,2094.0,2731.4,3006.6,2193.4,2111.2,1840.8,1445.3,1187.0,2048.7,1454.2,2618.2,1893.5,1031.3,2227.6,2217.7,163.9,1931.4,1506.2,3201.1,2003.0,2041.2,2090.0,2060.9,1824.4,1448.2,1266.1,2227.1,858.7,2176.3,1151.3,2948.3,2262.2,1972.8,1866.9
C032,1043.1,857.1,330.0,2172.1,420.8,736.0,112.6,2044.3,927.1,811.0,874.6,212.6,408.2,1061.7,597.2,1038.4,1092.0,619.7,985.6,1107.1,1107.0,441.7,2175.8,554.5,844.0,388.8,1060.3,1154.5,854.6,1209.4,468.8,2400.6,0.0,754.0,766.1,1322.4,1440.8,380.2,1281.2,444.8,275.1,1238.4,950.3,1175.2,1047.2,951.5,2218.5,1001.5,1534.5,1809.7,916.1,1255.4,755.5,1051.3,2095.4,622.0,1769.7,1421.3,1140.0,2136.2,702.6,754.4,2498.6,557.5,1018.3,2355.6,599.7,936.5,495.0,554.3,638.9,1113.3,2174.5,705.0,2162.2,505.4,2059.7,2102.8,604.3,1070.9,1153.5
C033,658.4,1110.2,903.8,1868.4,994.6,1046.1,620.9,1363.4,939.9,122.7,193.7,563.6,878.1,830.2,349.0,826.0,579.4,653.0,692.8,1258.1,496.8,728.0,1494.9,355.2,514.0,652.0,670.8,781.8,173.7,778.7,250.1,2096.9,711.2,0.0,203.3,803.6,759.9,911.1,600.3,708.0,745.0,691.5,269.4,555.1,792.8,650.1,1537.6,320.6,853.6,1128.8,1247.0,574.5,614.9,775.8,1791.7,655.3,1466.0,740.4,1179.6,1832.5,124.0,114.1,2194.9,888.4,883.5,1674.7,883.2,1169.2,555.4,891.4,865.3,770.6,1870.8,114.4,1858.5,532.9,1756.0,1421.9,235.5,1221.9,1116.0
C034,783.9,1152.7,946.3,1944.7,1037.1,1088.6,663.4,1402.0,1065.4,274.7,270.0,606.1,920.6,944.9,391.5,985.5,704.9,779.0,690.7,1370.5,604.6,770.5,1533.5,397.7,685.9,694.5,796.3,914.8,250.0,855.0,292.6,2173.2,753.7,199.9,0.0,879.9,798.5,953.6,676.6,750.5,787.5,776.7,300.1,638.5,964.7,822.0,1576.2,396.9,892.2,1167.4,1289.5,658.2,786.8,901.3,1868.0,781.3,1542.3,779.0,1305.1,1908.8,134.6,138.2,2271.2,930.9,1009.0,1713.3,925.7,1211.7,597.9,933.9,907.8,896.1,1947.1,152.8,1934.8,575.4,1832.3,1460.5,233.4,1334.3,1241.5
C035,461.6,896.5,1068.8,1167.0,1079.1,832.4,1243.4,1818.9,483.4,708.8,572.2,1275.3,1050.2,273.4,883.9,444.7,446.3,813.6,1334.6,866.7,487.0,1020.6,1950.4,869.9,541.4,996.2,467.7,319.2,652.1,101.4,961.8,1395.5,1276.3,748.0,821.2,0.0,1215.4,1043.2,208.6,874.3,1095.1,263.3,769.2,393.4,467.6,467.7,1993.1,671.7,1309.1,1584.3,1049.4,688.9,698.5,303.0,1090.3,904.7,764.6,1195.9,717.1,1131.1,837.4,814.6,1493.5,787.4,303.0,2130.2,859.0,898.9,947.7,916.9,680.4,305.9,1169.4,844.7,1157.1,1034.0,1054.6,1877.4,947.2,830.5,724.6
C036,1207.2,1838.4,1642.0,1862.3,1732.8,1774.3,1359.1,886.0,1488.7,833.8,828.8,1301.8,1616.3,1368.2,1087.2,1408.8,1128.2,1407.4,1416.7,1806.9,1022.5,1466.2,1017.5,1093.4,1186.3,1390.2,1219.6,1338.1,808.8,1278.3,988.3,2596.5,1449.4,774.5,796.7,1303.2,0.0,1649.3,1093.5,1446.2,1483.2,1200.0,803.1,1061.8,1413.3,1256.2,1060.2,792.7,489.3,896.6,1985.2,846.9,1351.2,1324.6,1844.5,1419.8,1965.6,508.2,1728.4,2332.1,860.6,841.1,2694.5,1626.6,1432.3,1197.3,1621.4,1839.1,1293.6,1629.6,1603.5,1319.4,1859.9,871.2,2358.1,1271.1,1915.8,944.5,959.4,1770.7,1664.8
